# Source: https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics (IEC live dashboard)
"# Scraped live, all provinces, unfiltered. As-of date on IEC site: 23 September 2026"
province,municipality_code,municipality_name,age_group,gender,registered_voters,is_youth
Eastern Cape,EC145,Walter Sisulu,30-39,male,4110,False
Eastern Cape,EC145,Walter Sisulu,30-39,female,4788,False
Eastern Cape,EC145,Walter Sisulu,40-49,male,4177,False
Eastern Cape,EC145,Walter Sisulu,40-49,female,4666,False
Eastern Cape,EC145,Walter Sisulu,50-59,male,3127,False
Eastern Cape,EC145,Walter Sisulu,50-59,female,3566,False
Eastern Cape,EC145,Walter Sisulu,60-69,male,1926,False
Eastern Cape,EC145,Walter Sisulu,60-69,female,2746,False
Eastern Cape,EC145,Walter Sisulu,70-79,male,940,False
Eastern Cape,EC145,Walter Sisulu,70-79,female,1450,False
Eastern Cape,EC145,Walter Sisulu,80+,male,309,False
Eastern Cape,EC145,Walter Sisulu,80+,female,668,False
Eastern Cape,EC153,Ngquza Hill,18-19,male,2857,True
Eastern Cape,EC153,Ngquza Hill,18-19,female,3097,True
Eastern Cape,EC153,Ngquza Hill,20-29,male,15751,True
Eastern Cape,EC153,Ngquza Hill,20-29,female,16851,True
Eastern Cape,EC153,Ngquza Hill,30-39,male,17147,False
Eastern Cape,EC153,Ngquza Hill,30-39,female,19936,False
Eastern Cape,EC153,Ngquza Hill,40-49,male,12815,False
Eastern Cape,EC153,Ngquza Hill,40-49,female,16240,False
Eastern Cape,EC153,Ngquza Hill,50-59,male,7264,False
Eastern Cape,EC153,Ngquza Hill,50-59,female,12220,False
Eastern Cape,EC153,Ngquza Hill,60-69,male,5859,False
Eastern Cape,EC153,Ngquza Hill,60-69,female,9701,False
Eastern Cape,EC153,Ngquza Hill,70-79,male,3003,False
Eastern Cape,EC153,Ngquza Hill,70-79,female,5727,False
Eastern Cape,EC153,Ngquza Hill,80+,male,2758,False
Eastern Cape,EC153,Ngquza Hill,80+,female,5800,False
Eastern Cape,EC154,Port St Johns,18-19,male,2643,True
Eastern Cape,EC154,Port St Johns,18-19,female,2792,True
Eastern Cape,EC154,Port St Johns,20-29,male,11920,True
Eastern Cape,EC154,Port St Johns,20-29,female,12151,True
Eastern Cape,EC154,Port St Johns,30-39,male,10285,False
Eastern Cape,EC154,Port St Johns,30-39,female,12127,False
Eastern Cape,EC154,Port St Johns,40-49,male,7224,False
Eastern Cape,EC154,Port St Johns,40-49,female,9036,False
Eastern Cape,EC154,Port St Johns,50-59,male,4089,False
Eastern Cape,EC154,Port St Johns,50-59,female,6747,False
Eastern Cape,EC154,Port St Johns,60-69,male,3333,False
Eastern Cape,EC154,Port St Johns,60-69,female,5535,False
Eastern Cape,EC154,Port St Johns,70-79,male,1780,False
Eastern Cape,EC154,Port St Johns,70-79,female,3284,False
Eastern Cape,EC154,Port St Johns,80+,male,1219,False
Eastern Cape,EC154,Port St Johns,80+,female,2722,False
Eastern Cape,EC155,Nyandeni,18-19,male,2686,True
